Age & gender,,,,,,,,,
,Women,Men,,,,,,,
18-24,5.4,1.9,,,,,,,
25-34,30.1,11.4,,,,,,,
35-44,22.2,11.8,,,,,,,
45-54,7,4.3,,,,,,,
55-64,2,1.4,,,,,,,
65+,1.2,1.3,,,,,,,
,,,,,,,,,
Top cities,,,,,,,,,
"Bizerte, Tunisie","Tunis, Tunisie","Sfax, Tunisie","Menzel Bourguiba, Tunisie","Alger, Alg�rie","Sousse, Tunisie","Ariana, Tunisie","Zarzouna, Tunisia","Menzel Djemil, Tunisia","Tripoli, Libye"
18.6,16.6,3.6,2.3,2.2,2,1.7,1.5,1.3,1.3
,,,,,,,,,
Top countries,,,,,,,,,
Tunisie,Alg�rie,France,Libye,Canada,Italie,Allemagne,Qatar,Arabie Saoudite,�mirats arabes unis
75.1,15.2,3.2,1.6,0.7,0.7,0.6,0.5,0.3,0.3
