Year,chart_type,Average Rating,Margin (%),Margin (Abs)
2008,summary_card,8.0,0.0,0.0
2009,summary_card,6.0,-25.0,-2.0
2010,summary_card,6.67,11.17,0.6699999999999999
2011,summary_card,4.8,-28.04,-1.87
2012,summary_card,8.2,70.83,3.3999999999999995
2013,summary_card,6.4,-21.95,-1.799999999999999
2014,summary_card,5.85,-8.59,-0.5500000000000007
2015,summary_card,6.31,7.86,0.45999999999999996
2016,summary_card,7.67,21.55,1.3600000000000003
2017,summary_card,5.47,-28.68,-2.2
2018,summary_card,6.0,9.69,0.5300000000000002
2019,summary_card,5.26,-12.33,-0.7400000000000002
2020,summary_card,6.06,15.21,0.7999999999999998
2021,summary_card,5.36,-11.55,-0.6999999999999993
2022,summary_card,5.95,11.01,0.5899999999999999
2023,summary_card,4.93,-17.14,-1.0200000000000005
2024,summary_card,6.1,23.73,1.17
2025,summary_card,6.68,9.51,0.5800000000000001
