Year,chart_type,Most Common Sentiment
2008,summary_card,Positive
2009,summary_card,Neutral
2010,summary_card,Positive
2011,summary_card,Positive
2012,summary_card,Positive
2013,summary_card,Positive
2014,summary_card,Positive
2015,summary_card,Positive
2016,summary_card,Positive
2017,summary_card,Positive
2018,summary_card,Positive
2019,summary_card,Neutral
2020,summary_card,Positive
2021,summary_card,Neutral
2022,summary_card,Neutral
2023,summary_card,Neutral
2024,summary_card,Neutral
2025,summary_card,Neutral
