month,chart_type,review_count
2008-01,line,1
2009-08,line,1
2009-09,line,1
2010-01,line,1
2010-03,line,1
2010-07,line,1
2011-01,line,1
2011-04,line,1
2011-11,line,3
2012-04,line,2
2012-07,line,2
2012-08,line,2
2012-09,line,2
2012-10,line,1
2012-11,line,1
2013-01,line,1
2013-07,line,1
2013-08,line,1
2013-12,line,2
2014-01,line,2
2014-02,line,1
2014-04,line,1
2014-05,line,1
2014-06,line,1
2014-07,line,4
2014-09,line,1
2014-10,line,2
2015-01,line,1
2015-02,line,1
2015-03,line,2
2015-05,line,1
2015-06,line,1
2015-07,line,1
2015-08,line,4
2015-09,line,2
2016-05,line,3
2016-07,line,1
2016-08,line,3
2016-09,line,1
2016-10,line,2
2016-11,line,1
2016-12,line,1
2017-03,line,1
2017-04,line,4
2017-07,line,4
2017-08,line,3
2017-11,line,1
2017-12,line,2
2018-03,line,1
2018-07,line,4
2018-11,line,3
2019-01,line,7
2019-02,line,6
2019-03,line,7
2019-04,line,4
2019-05,line,3
2019-06,line,5
2019-07,line,9
2019-08,line,11
2019-09,line,5
2019-10,line,2
2019-11,line,3
2019-12,line,7
2020-01,line,3
2020-02,line,4
2020-03,line,2
2020-06,line,1
2020-08,line,3
2020-09,line,3
2020-11,line,1
2020-12,line,1
2021-01,line,3
2021-02,line,1
2021-03,line,2
2021-06,line,1
2021-07,line,3
2021-08,line,4
2021-09,line,2
2021-10,line,2
2021-11,line,2
2021-12,line,2
2022-01,line,4
2022-03,line,2
2022-04,line,2
2022-05,line,2
2022-06,line,5
2022-07,line,9
2022-08,line,11
2022-09,line,12
2022-10,line,12
2022-11,line,4
2022-12,line,10
2023-02,line,1
2023-03,line,2
2023-04,line,2
2023-05,line,5
2023-06,line,5
2023-07,line,12
2023-08,line,9
2023-09,line,5
2023-10,line,2
2023-12,line,2
2024-01,line,7
2024-02,line,5
2024-03,line,6
2024-04,line,18
2024-05,line,3
2024-06,line,10
2024-07,line,40
2024-08,line,16
2024-09,line,17
2024-10,line,4
2024-11,line,6
2024-12,line,6
2025-01,line,7
2025-02,line,18
2025-03,line,5
2025-04,line,7
2025-05,line,6
2025-06,line,6
2025-07,line,1
