Year,chart_type,sentiment,Review Count
2008,bar,Positive,1
2009,bar,Neutral,1
2009,bar,Positive,1
2010,bar,Positive,3
2011,bar,Negative,1
2011,bar,Neutral,1
2011,bar,Positive,3
2012,bar,Neutral,1
2012,bar,Positive,9
2013,bar,Negative,1
2013,bar,Positive,4
2014,bar,Negative,1
2014,bar,Neutral,4
2014,bar,Positive,8
2015,bar,Neutral,4
2015,bar,Positive,9
2016,bar,Neutral,2
2016,bar,Positive,10
2017,bar,Negative,1
2017,bar,Neutral,5
2017,bar,Positive,9
2018,bar,Neutral,2
2018,bar,Positive,6
2019,bar,Negative,5
2019,bar,Neutral,38
2019,bar,Positive,26
2020,bar,Neutral,8
2020,bar,Positive,10
2021,bar,Negative,2
2021,bar,Neutral,11
2021,bar,Positive,9
2022,bar,Negative,4
2022,bar,Neutral,42
2022,bar,Positive,27
2023,bar,Negative,4
2023,bar,Neutral,23
2023,bar,Positive,18
2024,bar,Negative,4
2024,bar,Neutral,108
2024,bar,Positive,26
2025,bar,Negative,1
2025,bar,Neutral,30
2025,bar,Positive,19
