Year,chart_type,subrating_name,subrating_value
2009,bar,Cleanliness,3.75
2009,bar,Hotel Bizerta Resort Congres & SPA,3.0
2009,bar,Location,3.75
2009,bar,Rooms,3.5
2009,bar,Service,3.0
2009,bar,Value,3.5
2010,bar,Cleanliness,4.0
2010,bar,Hotel Bizerta Resort Congres & SPA,3.67
2010,bar,Location,3.67
2010,bar,Rooms,3.33
2010,bar,Service,3.6
2010,bar,Sleep Quality,3.0
2010,bar,Value,3.5
2011,bar,Cleanliness,2.5
2011,bar,Hotel Bizerta Resort Congres & SPA,3.0
2011,bar,Location,2.8
2011,bar,Rooms,2.7
2011,bar,Service,2.44
2011,bar,Sleep Quality,2.5
2011,bar,Value,2.7
2012,bar,Cleanliness,4.17
2012,bar,Hotel Bizerta Resort Congres & SPA,3.7
2012,bar,Location,4.39
2012,bar,Rooms,4.39
2012,bar,Service,4.21
2012,bar,Sleep Quality,4.33
2012,bar,Value,3.94
2013,bar,Cleanliness,3.4
2013,bar,Hotel Bizerta Resort Congres & SPA,3.4
2013,bar,Location,3.5
2013,bar,Rooms,3.4
2013,bar,Service,3.38
2013,bar,Sleep Quality,3.33
2013,bar,Value,3.3
2014,bar,Cleanliness,2.57
2014,bar,Hotel Bizerta Resort Congres & SPA,2.67
2014,bar,Location,3.36
2014,bar,Rooms,3.39
2014,bar,Service,2.81
2014,bar,Sleep Quality,3.14
2014,bar,Value,2.93
2015,bar,Cleanliness,3.75
2015,bar,Hotel Bizerta Resort Congres & SPA,3.71
2015,bar,Location,3.88
2015,bar,Rooms,3.25
2015,bar,Service,3.55
2015,bar,Sleep Quality,3.75
2015,bar,Value,4.25
2016,bar,Cleanliness,3.0
2016,bar,Hotel Bizerta Resort Congres & SPA,4.0
2016,bar,Location,4.25
2016,bar,Rooms,3.83
2016,bar,Service,3.83
2016,bar,Sleep Quality,3.5
2017,bar,Cleanliness,3.5
2017,bar,Hotel Bizerta Resort Congres & SPA,3.36
2017,bar,Location,3.8
2017,bar,Rooms,4.0
2017,bar,Service,3.27
2017,bar,Sleep Quality,3.0
2017,bar,Value,3.0
2018,bar,Cleanliness,3.0
2018,bar,Hotel Bizerta Resort Congres & SPA,2.0
2018,bar,Location,3.0
2018,bar,Rooms,1.5
2018,bar,Service,2.0
2018,bar,Value,1.5
2019,bar,Cleanliness,3.88
2019,bar,Hotel Bizerta Resort Congres & SPA,3.8
2019,bar,Location,4.5
2019,bar,Service,4.0
2019,bar,Sleep Quality,4.0
2019,bar,Value,3.75
2022,bar,Cleanliness,6.7
2022,bar,Comfort,7.33
2022,bar,Facilities,6.86
2022,bar,Free Wifi,7.08
2022,bar,Hotel Bizerta Resort Congres & SPA,4.5
2022,bar,Location,7.15
2022,bar,Rooms,4.67
2022,bar,Service,4.33
2022,bar,Sleep Quality,4.0
2022,bar,Staff,7.91
2022,bar,Value,4.25
2022,bar,Value for money,6.43
2023,bar,Hotel Bizerta Resort Congres & SPA,5.0
2023,bar,Location,4.5
2023,bar,Service,5.0
2023,bar,Value,4.5
2024,bar,Cleanliness,7.06
2024,bar,Comfort,7.33
2024,bar,Facilities,6.86
2024,bar,Free Wifi,7.08
2024,bar,Hotel Bizerta Resort Congres & SPA,2.0
2024,bar,Location,7.98
2024,bar,Rooms,3.75
2024,bar,Service,3.67
2024,bar,Sleep Quality,5.0
2024,bar,Staff,7.91
2024,bar,Value,2.5
2024,bar,Value for money,6.43
2025,bar,Cleanliness,6.09
2025,bar,Comfort,7.33
2025,bar,Facilities,6.86
2025,bar,Free Wifi,7.08
2025,bar,Hotel Bizerta Resort Congres & SPA,4.44
2025,bar,Location,6.55
2025,bar,Rooms,4.44
2025,bar,Service,4.67
2025,bar,Sleep Quality,4.56
2025,bar,Staff,7.91
2025,bar,Value,4.44
2025,bar,Value for money,6.43
