Year,chart_type,stay_type,Review Count
2008,summary_card,NONE,1
2009,summary_card,COUPLES,1
2010,summary_card,BUSINESS,2
2011,summary_card,BUSINESS,2
2012,summary_card,FAMILY,6
2013,summary_card,BUSINESS,2
2014,summary_card,BUSINESS,8
2015,summary_card,BUSINESS,6
2016,summary_card,BUSINESS,6
2017,summary_card,BUSINESS,10
2018,summary_card,BUSINESS,2
2019,summary_card,Unknown,57
2020,summary_card,Unknown,12
2021,summary_card,Unknown,19
2022,summary_card,Unknown,32
2023,summary_card,Unknown,25
2024,summary_card,Couple,32
2025,summary_card,BUSINESS,15
