Year,chart_type,Total Reviews,Margin (%),Margin (Abs)
2008,summary_card,1,0.0,0.0
2009,summary_card,2,100.0,1.0
2010,summary_card,3,50.0,1.0
2011,summary_card,5,66.67,2.0
2012,summary_card,10,100.0,5.0
2013,summary_card,5,-50.0,-5.0
2014,summary_card,13,160.0,8.0
2015,summary_card,13,0.0,0.0
2016,summary_card,12,-7.6899999999999995,-1.0
2017,summary_card,15,25.0,3.0
2018,summary_card,8,-46.67,-7.0
2019,summary_card,69,762.5,61.0
2020,summary_card,18,-73.91,-51.0
2021,summary_card,22,22.220000000000002,4.0
2022,summary_card,73,231.82,51.0
2023,summary_card,45,-38.36,-28.0
2024,summary_card,138,206.67,93.0
2025,summary_card,50,-63.77,-88.0
